ref,fundam_legal,beneficio,item,descr_produto,oper,ncm
Alíquota 0% - Dispositivos acessibilidade (Governo e CEBAS) - Anexo V - art 145,GERAL,Redução a 0%,3.3,Unidades de entrada de dados tipo mouse controláveis pelo movimento dos olhos para deficientes,INC,8471.60.53
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,2,Aparelhos de raios ultravioleta ou infravermelhos,INC,9018.20
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,3,Artigos e aparelhos ortopédicos,INC,9021.10.10
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,4,Artigos e aparelhos para fraturas,INC,9021.10.20
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,5,"Artigos e aparelhos de prótese, exceto os dentários e os produtos classificados nos códigos 9021.39.91 e 9021.39.99",INC,9021.3
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,5,"Artigos e aparelhos de prótese, exceto os dentários e os produtos classificados nos códigos 9021.39.91 e 9021.39.99",EXC,9021.39.91
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,5,"Artigos e aparelhos de prótese, exceto os dentários e os produtos classificados nos códigos 9021.39.91 e 9021.39.99",EXC,9021.39.99
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,6,Tomógrafo computadorizado,INC,9022.12.00
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,7,"Aparelhos de raio X, móveis",INC,9022.13
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,7,"Aparelhos de raio X, móveis",INC,9022.14
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,7,"Aparelhos de raio X, móveis",INC,9022.19
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,7,"Aparelhos de raio X, móveis",EXC,9022.19.91
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,8,Aparelho de radiocobalto (bomba de cobalto),INC,9022.21.10
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,9,Aparelho de crioterapia,INC,9018.90.99
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,10,Aparelho de gamaterapia,INC,9022.21.20
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,11,"Aparelhos que utilizem radiações alfa, beta, gama ou outras radiações ionizantes, para usos médicos, cirúrgicos, odontológicos ou veterinários, incluídos os aparelhos de radiofotografia ou de radioterapia, exceto os produtos classificados nos códigos 9022.21.10 e 9022.21.20",INC,9022.21.90
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,12,"Densímetros, areômetros, pesa-líquidos e instrumentos flutuantes semelhantes, termômetros, pirômetros, barômetros, higrômetros e psicômetros, registradores ou não, mesmo combinados entre si",INC,90.25
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,13,Respirador,INC,9019.20.40
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,14,Monitor multiparâmetros,INC,9018.19.80
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,15,Bomba de infusão,INC,9018.90.10
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,16,Aparelhos de diagnóstico por visualização de ressonância magnética,INC,9018.13.00
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,17,Aparelhos de ultrassom,INC,9018.12
Alíquota 0% - Dispositivos medicos - Anexo XII - art 144,GERAL,Alíquota 0%,1.1,Eletrocardiógrafos,INC,9018.11.00
