ncm,valor_produtos_servicos,tributos_nfe
08011100,1254844.98,174600.18
08011110,9299.12,72.01999999999998
08011190,3624.49,50.89
08011200,379158.42,1002.79
08011900,1274709.28,63292.23999999998
08012100,14972.65,2082.03
08012200,95120.07999999999,13395.74
08013100,280748.95,690.3900000000002
08013200,170829.67,16736.96
08021100,5648.61,503.76
08021200,27383.76,3063.95
08022100,221.62,15.98
08022200,1886.37,163.9
08023100,34700.20000000001,5497.449999999999
08023200,59377.00999999999,9322.989999999998
08024100,6362.83,452.5400000000001
08024200,1802.06,205.82
08025100,9074.61,562.05
08025200,12336.66,848.0799999999999
08026100,5183.68,65.28
08026200,8251.890000000001,391.9199999999999
08027000,788.78,0
08028000,89.99,0
08029000,11533.32,37.71
08029100,27780.09000000001,2476.560000000001
08029200,1145.3,82.82
08029900,31793.19,3161.63
08030000,55945.51,52.81
08030002,0,0
08031000,5812041.100000001,102822.78
08039000,12517086.54,101734.61
08041010,392234.69,459.35
08041020,33983.8,3527.49
08042010,14092.82,1494.100000000001
08042020,3749.98,204.74
08043000,12096683.35,3887.96
08043001,0,0
08044000,11450780.3,50815.88000000001
08045000,107.23,0
08045010,299245.47,591.3399999999999
08045020,4714539.51,2012.1
08045030,5454.13,16.04
08051000,156526766.02,654777.6200000001
08052000,465307.75,59.88
08052100,7666015.1,8219.050000000001
08052200,2412.47,3.47
08052900,39588.78,69.97
08053000,350.9,0
08053020,0,0
08054000,1389.45,56.46
08055000,7742212.84,7683.059999999999
08059000,7105979.01,434.81
08061000,3280021.609999998,111714.79
08062000,282064.04,41727.37
08062001,0,0
08071100,11692442.92,11566.25
08071900,1375689.14,83644.69000000002
08072000,5258150.699999999,50363.64
08081000,4677784.54,332629.87
08082010,157.67,0
08082020,1300,120.25
08083000,889590.8399999999,31931.03000000001
08083019,0,0
08083090,0,0
08084000,108609.23,28.7
08091000,22655.62,348.3800000000001
08092100,6234.300000000002,16.74
08092900,15917.69,569.7699999999999
08093010,761209.5800000001,31723.75
08093020,85587.45,6694.340000000001
08094000,877030.2,32960.70000000001
08101000,28581913.23,47998.5
08102000,31357.9,372.01
08103000,45.9,7.8
08104000,26487.33000000001,1038.31
08105000,296496.99,9669.199999999999
08107000,977389.28,1405.85
08109000,28450.09,52.73
08109001,0,0
08109011,19256.65,9.04
08109012,34653.9,26.46
08109013,498388.18,2.2
08109014,9840.33,125.05
08109015,928283.29,969.2499999999998
08109016,1279708.21,220.85
08109017,2319.87,373.9300000000001
08109090,508894.46,2235.76
08111000,2427954.78,1775.84
08112000,5858.389999999999,147.14
08119000,584951.32,35496.45
08121000,7729.249999999999,170.56
08129000,5296.5,154.01
08131000,57178.19999999999,8436.549999999997
08132010,84462.22,7404.320000000002
08132020,67413.71,9714.87
08133000,89594.85000000002,619.37
08134010,6074.44,63.59
08134090,60917.89,908.7499999999999
08135000,104465.7,9651.679999999998
08140000,595197.67,822.1800000000001
08207501,0,0
08406902,0,0
08409990,0,0
08413302,0,0
08414801,0,0
08421999,0,0
08424909,0,0
08432900,0,0
08444200,0,0
08467119,0,0
08481990,0,0
08483000,0,0
08483309,0,0
08511900,0,0
08512900,0,0
08515010,0,0
08517627,0,0
08517797,0,0
08544200,0,0
08563090,0,0
08708000,0,0
08708299,0,0
08708990,0,0
08714100,0,0
08714920,0,0
08789200,0,0
08800000,0,0
08800090,0,0
08806066,0,0
08822000,0,0
08932770,0,0
08990000,0,0
08990010,0,0
08990040,0,0
08990055,0,0
08990099,0,0
08990133,0,0
08999000,0,0
08999080,0,0
08999200,0,0
08999999,0,0
09011110,42587462.08000001,46377.21
09011190,2751173.56,112802.46
09011200,93848.87999999998,2637.55
09012000,0,0
09012100,36094151.11000001,1257796.54
09012200,436058.8699999999,47001.22000000002
09019000,3249048.819999999,138813.26
09021000,137636,12596.18
09022000,16074.77,1191.83
09023000,30453.18,3033.98
09024000,3509.74,21.33
09030010,129772.94,9360.67
09030090,1959542.499999998,167679.34
09031100,0,0
09041000,0,0
09041100,712287.3500000001,23306.98
09041101,0,0
09041200,407718.83,77454.93999999999
09042000,159.14,14.11
09042100,112323.38,24044.02
09042200,162691.48,35224.19999999999
09051000,20174.28,1244.35
09052000,753.68,40.24000000000001
