ocupacao,percentual_corrigido_2023,percentual_corrigido_2024,valor_corrigido_2023,valor_corrigido_2024,ano,valor
290,0.0006877712685800472,0.0006791083390286632,51861092.82004738,55933691.58269337,2023,39862660.39
291,0.0010261953978589167,0.0009975873641147077,77379816.82448356,82164716.20860037,2023,59477446.22
292,0.0007556570398860869,0.0006900227126036514,56979989.82505259,56832636.81760959,2023,43797264.19
293,0.000298444483001486,0.000283195312665596,22504076.197492,23324937.07698868,2023,17297598.22
294,0.002194928943963547,0.002084387079057155,165507660.60832283,171677267.55599913,2023,127216286.97
295,0.0021851626296924445,0.0021093309964991284,164771235.93625253,173731734.13353977,2023,126650239.38
296,0.0008469823364625,0.0008454411107693738,63866334.01960727,69633429.04718468,2023,49090403.71
311,3.988363698650525e-05,4.648596526533005e-05,3007408.2682002718,3828743.507690933,2023,2311622.99
312,0.0005897882324675037,0.0005861989991108933,44472724.67679271,48281359.7448232,2023,34183643.73
313,0.0003055964839958467,0.00030437442702037885,23043369.71608196,25069321.562105443,2023,17712122.35
314,8.494658116271628e-05,0.0001071851681562338,6405359.938225722,8828138.005881362,2023,4923434.39
316,2.1339448888927528e-05,1.5019034489462287e-05,1609091.8450870477,1237019.1834265802,2023,1236817.01
317,0.0006226704414947039,0.0006201549020692561,46952193.32050119,51078084.3531552,2023,36089469.68
318,9.862999227136961e-05,9.269510998648218e-05,7437151.590508368,7634687.12609771,2023,5716513.71
319,0.00040783788746061057,0.0004179838153083261,30752838.19400357,34426580.3677999,2023,23637950.5
320,1.0496047477553758e-05,4.020984905093586e-06,791449.8865311154,331182.1054382273,2023,608342.33
321,0.00010532753119571346,8.525525526398325e-05,7942176.594734537,7021915.178600337,2023,6104697.59
322,0.0012116545768702917,0.0011466775675456238,91364285.40645266,94444296.61933938,2023,70226508.6
323,3.739774339573204e-05,3.698269739722354e-05,2819960.5451832614,3046021.7777197245,2023,2167542.63
