exportacao_de_bens_e_servicos_1,consumo_do_governo,consumo_das_isflsf,consumo_das_familias,formacao_bruta_de_capital_fixo,variacao_de_estoque,demanda_final,demanda_total,consumo_intermediario_total,consumo_intermediario_adm_publica,demanda_total_export,compras_adm_publica_2021,compras_adm_publica_2020,compras_adm_publica_2019,compras_adm_publica_media_2021_2019,consumo_final_proxy_debitos_cbs_2021,consumo_final_proxy_debitos_cbs_2020,consumo_final_proxy_debitos_cbs_2019,consumo_final_proxy_debitos_cbs_media_2021_2019
2072,0,0,3121,0,0,5193,33760,28567,3108,31688,0.09808129260287807,0.10690440060698027,0.11248300860897145,0.1058229006062766,0.09849154253976268,0.09764795144157815,0.08760006041383477,0.09457985146505854
5097,0,0,6863,0,0,11960,44768,32808,3439,39671,0.08668800887298027,0.11422680412371133,0.07364463167841254,0.0915198148917014,0.1729979077915858,0.23017806935332707,0.29505098625930154,0.23274232113473814
3208,0,0,269233,0,0,272441,327365,54924,21680,324157,0.06688117177787306,0.07145523070730726,0.05805251009809579,0.06546297086109203,0.8305635849295249,0.832584434117604,0.8594229659549913,0.8408569950007068
1062,0,0,13731,0,-855,13938,32173,18235,6496,31111,0.20880074571694898,0.2079004968210402,0.15704273398250945,0.19124799217349953,0.4295501470312207,0.44437097040833196,0.5178368412966662,0.46391931957873966
2041,0,0,1256,0,0,3297,48729,45432,0,46688,0,0,0,0,0.026901987662782727,0.021313261866747764,0.04883100857186928,0.03234875270046659
2850,0,0,142541,0,0,145391,231911,86520,7339,229061,0.032039500395091264,0.030964679603518078,0.03552011769310203,0.03284143256390379,0.6222840204137763,0.6203592535715947,0.6092645595703448,0.6173026111852385
14988,0,0,5578,139014,15,159595,313090,153495,26929,298102,0.09033485182923966,0.10363644797935284,0.09423109298714903,0.09606746426524719,0.4850664403345332,0.4467484817813765,0.46438762431352737,0.4654008488098124
10944,1785,0,396491,0,0,409220,860098,450878,73543,849154,0.0866073762827473,0.07667188226943022,0.08783837918498563,0.08370587924572104,0.469026819634601,0.4814123230277898,0.4654810667895164,0.47197340315063574
5282,0,0,132615,0,0,137897,297914,160017,4690,292632,0.016026955356898766,0.017545019241502893,0.015863124978627526,0.016478366525676396,0.4531801033379808,0.4670250580182721,0.49174547568477406,0.47065021234700904
0,0,0,547406,0,0,547406,547406,0,0,547406,0,0,0,0,1,1,1,1
22883,0,0,23056,0,0,45939,320554,274615,6626,297671,0.022259474386151154,0.02421459867623753,0.023142481091929103,0.02320551805143926,0.07745463951812571,0.07912665858736521,0.08752777212848663,0.08136969007799251
0,0,0,0,48333,0,48333,52019,3686,0,52019,0,0,0,0,0.9291412753032546,0.9303264455634659,0.9340362530510984,0.9311679913059395
28042,0,0,1072,4781,0,33895,105862,71967,12426,77820,0.15967617579028529,0.19261230142059158,0.1953216374269006,0.18253670487925913,0.07521202775636084,0.07120073441316965,0.0710260499734184,0.07247960404764962
7028,0,0,3165,0,0,10193,189327,179134,8377,182299,0.045951979988919305,0.0519435399267,0.051313374007882946,0.04973629797450075,0.01736158728243161,0.016989795223238006,0.015934614761621942,0.016761999089097188
8979,0,0,5884,0,0,14863,147943,133080,10865,138964,0.07818571716415762,0.07211348431392642,0.07924960273528991,0.07651626807112465,0.04234190149966898,0.03874306460349295,0.03778345119480656,0.0396228057659895
3470,0,39053,3184,0,0,45707,132576,86869,18305,129106,0.14178272117484858,0.14092138651837832,0.1408561483365687,0.1411867520099319,0.327149783898502,0.3314378554021121,0.3396730035477609,0.332753547616125
6054,0,0,9195,0,0,15249,210397,195148,40691,204343,0.19913087309083258,0.21376117684381205,0.20742072109360382,0.20677092367608282,0.04499787122632045,0.044084644397184784,0.07857300803420063,0.05588517455256862
0,0,0,539,0,0,539,48457,47918,14604,48457,0.3013806054852756,0.2809000567262643,0.2880875202593193,0.2901227274902864,0.01112326392471676,0.011093136122024498,0.011217265205152266,0.011144555083964508
