codigo,descricao,categoria,valor_rend_tna_2023,valor_rend_tna_2024,atividade_de_divulgacao_scn_2010,classe_cnae_2_0_4_digitos,consumo_final_contas_nacionais,consumo_intermediaro,2024_0_1,2024_0_2,2024_0_3,ano,valor
318,DESENHISTA TÉCNICO E MODELISTA,"LC 214/2025, art 127",7437151.590508368,7634687.12609771,7380,7490,0.01736158728243161,0.9826384127175684,58247.66784748083,7502136.839183907,58247.66784748083,2023,7308030.834037081
319,"OUTROS TÉCNICOS DE NÍVEL MÉDIO DAS CIÊNCIAS FÍSICAS, QUÍMICAS, ENGENHARIA E AFINS","LC 214/2025, art 127",30752838.19400357,34426580.3677999,7380,7490,0.01736158728243161,0.9826384127175684,1094684.2506686917,33828880.287908696,1094684.2506686917,2023,30218920.10951588
320,TÉCNICO EM BIOLOGIA,"LC 214/2025, art 127",791449.8865311154,331182.1054382273,7380,7490,0.01736158728243161,0.9826384127175684,6393.181162938208,325432.258408282,6393.181162938208,2023,777709.0602464348
321,TÉCNICO DA PRODUÇÃO AGROPECUÁRIA,"LC 214/2025, art 127",7942176.594734537,7021915.178600337,7380,7490,0.01736158728243161,0.9826384127175684,139013.68473220267,6900003.585337236,139013.68473220267,2023,7804287.802572568
322,TÉCNICO DA CIÊNCIA DA SAÚDE HUMANA,Profissionais de saúde,91364285.40645266,94444296.61933938,8692,8660,0.8767171182309692,0.1232828817690308,4365271.728714225,11643365.053881291,4365271.728714225,2023,11263652.395675689
323,TÉCNICO DA CIÊNCIA DA SAÚDE ANIMAL,"LC 214/2025, art 127",2819960.5451832614,3046021.7777197245,7380,7490,0.01736158728243161,0.9826384127175684,26439.31608489402,2993138.004761656,26439.31608489402,2023,2771001.5540450485
324,"TÉCNICO DE LABORATÓRIO, RAIOS-X E OUTROS EQUIPAMENTOS E INSTRUMENTOS DE DIAGNÓSTICO",Profissionais de saúde,28505938.213532034,28426074.091016166,8692,8640,0.8767171182309692,0.1232828817690308,2369038.9225690365,3504448.3313204553,2369038.9225690365,2023,3514294.2104941667
325,TÉCNICO DE BIOQUÍMICA E DA BIOTECNOLOGIA,"LC 214/2025, art 127",1448374.2593057228,1383745.72619943,7380,7490,0.01736158728243161,0.9826384127175684,58251.87783053802,1359721.7039973268,58251.87783053802,2023,1423228.1831851592
328,"TÉCNICO DE CONSERVAÇÃO, DISSECAÇÃO E EMPALHAMENTO DE CORPOS",Profissionais de saúde,254805.08819869807,354580.6283917736,8692,8690,0.8767171182309692,0.1232828817690308,18696.39644390387,43713.72168761167,18696.39644390387,2023,31413.105562547556
341,"TÉCNICO EM NAVEGAÇÃO AÉREA, MARÍTIMA, FLUVIAL E METROFERROVIÁRIA",,2380186.2191246427,2114979.293697419,,,0.5,0.5,201213.20761576926,1057489.6468487096,201213.20761576926,2023,1190093.1095623213
