produto_interno_bruto_1,1199092_111000002,1315755_47899999,1488787_2559999959,1717950_4089999902,1957751_2169999941,2170584_5149999997,2409449_882999989,2720262_966000002,3109803_093000006,3333039_3110000165,3885847_0,4376382_0,4814760_0,5331619_0,5778953_0,5995787_0,6269328_0,6585479_0,7004141_0,7389131_0,7609597_0,9012142_0
   Famílias,81408.53800000002,81411.25699999998,94471.81200000006,102163.88400000003,113119.69699999999,116177.94299999998,125113.29100000004,140586.73399999997,156287.316,188950.413,232612.0,266481.0,316948.0,358359.0,371432.0,372116.0,361645.0,355517.0,367493.0,386292.0,405061.0,499699.0
   Instituições sem fins de lucro a serviço das famílias,916.122,1435.416,1103.1399999999999,916.0490000000003,1023.2660000000002,1428.5079999999994,1532.775,1760.3399999999997,2102.8819999999982,2358.331,2977.0,3688.0,4597.0,5305.0,5410.0,5589.0,5118.0,5099.0,5111.0,4852.0,4949.0,5960.0
Capacidade (+)/Necessidade (-) líquida de financiamento,-58690.55899999689,-67504.86999999643,-29908.954000001635,-7366.673000002781,17795.725999991646,20126.16099999274,14647.141000021691,-12547.753999985563,-74143.97800000248,-80333.69999999425,-155375.0,-141253.0,-180264.0,-188889.0,-255304.0,-171976.0,-97814.0,-67357.0,-166749.0,-240979.0,-80538.0,-213447.0
   Empresas não financeiras,-48983.79699999709,-53696.52399999631,-41911.12600000091,-7382.377000002885,-17673.926000008458,-27598.597000007434,-24013.861999978468,-75067.7439999855,-137493.27400000204,-50178.549999993775,-160540.0,-171354.0,-179283.0,-137409.0,-51801.0,25498.0,21952.0,7112.0,-50020.0,-189445.0,58227.0,-321778.0
   Empresas financeiras,23555.294999999987,37928.405,63292.14199999988,37057.50800000025,46756.15800000002,61859.717000000004,99261.13999999996,142676.04199999993,100195.52899999983,72369.36299999995,86812.0,106562.0,76077.0,89654.0,100610.0,144001.0,159534.0,187894.0,149773.0,132270.0,216917.0,222976.0
   Governo geral,-58207.03499999985,-85818.381,-91447.80100000005,-81620.54500000009,-57995.39900000014,-60378.64899999996,-108481.4959999997,-126930.31199999995,-85218.34500000003,-149201.41100000023,-115021.0,-111114.0,-111602.0,-176420.0,-339637.0,-464663.0,-448385.0,-465169.0,-429242.0,-369570.0,-917954.0,-198567.0
   Famílias,24811.85400000006,33949.789999999935,40041.86399999943,44364.71099999993,46039.736000000266,45761.68200000015,47455.63,46511.281999999905,48158.85599999977,46577.234999999804,33356.0,34618.0,34513.0,35212.0,35275.0,122964.0,168730.0,202141.0,162537.0,184572.0,557945.0,81780.0
   Instituições sem fins de lucro a serviço das famílias,133.1240000000057,131.8399999999449,115.96700000002033,214.03000000001418,669.1569999999612,482.00799999997434,425.72899999990295,262.9780000000478,213.25599999999122,99.66300000000456,18.0,35.0,31.0,74.0,249.0,224.0,355.0,665.0,203.0,1194.0,4327.0,2142.0
"Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Contas Nacionais.",,,,,,,,,,,,,,,,,,,,,,
"(1) O  Produto Interno  Bruto - PIB corresponde ao somatório do valor adicionado  pelos setores  institucionais acrescido dos  impostos, líquidos de subsídios, sobre produto.",,,,,,,,,,,,,,,,,,,,,,
"(2) Para o total da economia, o saldo das rendas primárias brutas corresponde à renda nacional bruta.",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0.10588399952763551,0.11084193561953522,0.09362811822276938
